Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon",10001,78381,64424,246,36408,99.5,166,.5,36574,56.8,"Andrews, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor",10002,86394,69936,246,31157,99.5,151,.5,31308,44.8,"Simms, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte",10003,73171,59109,229,30014,99.7,97,.3,30111,50.9,"Byrne, Gerry Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador",10004,26364,20305,88,10692,99.5,52,.5,10744,52.9,"Penashue, Peter Conservative/Conservateur"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's",10005,71219,57556,238,26008,99.5,120,.5,26128,45.4,"Foote, Judy Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est",10006,88002,76424,217,44072,99.7,136,.3,44208,57.8,"Harris, Jack NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl",10007,81938,67025,200,38985,99.7,108,.3,39093,58.3,"Cleary, Ryan NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan",11001,35067,27581,86,21130,99.5,108,.5,21238,77,"MacAulay, Lawrence Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown",11002,32174,26760,82,18468,99.4,113,.6,18581,69.4,"Casey, Sean Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Egmont",11003,34814,27197,85,19153,99.2,155,.8,19308,71,"Shea, Gail Conservative/Conservateur"
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque",11004,33796,26918,79,20294,99.6,90,.4,20384,75.7,"Easter, Wayne Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso",12001,71968,57331,201,35476,99.1,336,.9,35812,62.5,"Cuzner, Rodger Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre",12002,72966,57963,219,38025,99.4,226,.6,38251,66,"MacKay, Peter G. Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley",12007,87895,69188,246,40111,99.4,256,.6,40367,58.3,"Armstrong, Scott Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour",12003,87886,70756,218,43223,99.4,255,.6,43478,61.4,"Chisholm, Robert NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Nova Scotia/Nouvelle-Écosse","Halifax",12004,89448,73357,244,45987,99.5,241,.5,46228,63,"Leslie, Megan NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest",12005,88756,72862,230,45182,99.5,239,.5,45421,62.3,"Regan, Geoff Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Kings--Hants",12006,81531,65355,215,40164,99.5,200,.5,40364,61.8,"Brison, Scott Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore",12008,86963,70329,234,41580,99.4,246,.6,41826,59.5,"Stoffer, Peter NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's",12009,82855,67296,210,41597,99.3,282,.7,41879,62.2,"Keddy, Gerald Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria",12010,76801,60719,207,37051,99.3,279,.7,37330,61.5,"Eyking, Mark Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest",12011,86393,67938,221,42954,99.2,356,.8,43310,63.7,"Kerr, Greg Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst",13001,78948,66298,243,46014,98.7,595,1.3,46609,70.3,"Godin, Yvon NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"New Brunswick/Nouveau-Brunswick","Beauséjour",13002,76259,63267,231,44520,98.8,534,1.2,45054,71.2,"LeBlanc, Dominic Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fredericton",13003,85886,69732,207,44591,99.5,207,.5,44798,64.2,"Ashfield, Keith Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Fundy Royal",13004,69471,56795,165,36476,99.4,238,.6,36714,64.6,"Moore, Rob Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche",13005,62593,50966,179,34997,98.4,577,1.6,35574,69.8,"Valcourt, Bernard Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Miramichi",13006,53844,43547,150,30744,98.9,348,1.1,31092,71.4,"O'Neill Gordon, Tilly Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe",13007,89334,75298,227,48724,99.3,351,.7,49075,65.2,"Goguen, Robert Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",13008,63232,49578,169,31895,99.4,188,.6,32083,64.7,"Williamson, John Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Saint John",13009,82078,64264,194,37113,99.5,176,.5,37289,58,"Weston, Rodney Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac",13010,68352,53073,183,33664,99.2,256,.8,33920,63.9,"Allen, Mike Conservative/Conservateur"
"Quebec/Québec","Abitibi--Baie-James--Nunavik--Eeyou",24046,80894,59325,185,31168,98.5,480,1.5,31648,53.3,"Saganash, Romeo NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Abitibi--Témiscamingue",24001,102795,82079,272,48351,98.7,654,1.3,49005,59.7,"Moore, Christine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Ahuntsic",24002,100471,73254,216,46884,98.9,516,1.1,47400,64.7,"Mourani, Maria Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Alfred-Pellan",24003,104765,84630,234,54872,98.7,745,1.3,55617,65.7,"Doré Lefebvre, Rosane NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Argenteuil--Papineau--Mirabel",24004,111534,96723,281,58279,98.7,776,1.3,59055,61.1,"Freeman, Mylène NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Bas-Richelieu--Nicolet--Bécancour",24054,91745,77290,236,49732,97.9,1058,2.1,50790,65.7,"Plamondon, Louis Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Beauce",24005,103617,84941,279,52850,98.7,681,1.3,53531,63,"Bernier, Maxime Conservative/Conservateur"
"Quebec/Québec","Beauharnois--Salaberry",24006,106856,89454,255,54791,98.6,778,1.4,55569,62.1,"Quach, Anne Minh-Thu NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Beauport--Limoilou",24007,101331,84859,254,52759,98.4,843,1.6,53602,63.2,"Côté, Raymond NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Berthier--Maskinongé",24008,107911,90838,255,56604,98,1142,2,57746,63.6,"Brosseau, Ruth Ellen NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Bourassa",24009,100683,70207,202,38013,98.2,685,1.8,38698,55.1,"Coderre, Denis Liberal/Libéral"
"Quebec/Québec","Brome--Missisquoi",24010,92591,80371,234,52545,98.9,588,1.1,53133,66.1,"Jacob, Pierre NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Brossard--La Prairie",24011,113985,96795,269,62194,99.1,569,.9,62763,64.8,"Mai, Hoang NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Chambly--Borduas",24012,116925,99210,269,69243,99.1,621,.9,69864,70.4,"Dubé, Matthew NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Charlesbourg--Haute-Saint-Charles",24013,94522,82345,224,53609,98.5,801,1.5,54410,66.1,"Day, Anne-Marie NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Châteauguay--Saint-Constant",24015,107165,88908,224,56023,98.6,786,1.4,56809,63.9,"Chicoine, Sylvain NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Chicoutimi--Le Fjord",24016,96483,79369,221,50958,98.7,678,1.3,51636,65.1,"Morin, Dany NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Compton--Stanstead",24017,100148,80470,226,50631,98.9,580,1.1,51211,63.6,"Rousseau, Jean NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Drummond",24018,92982,77280,209,47420,98.2,878,1.8,48298,62.5,"Choquette, François NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Gaspésie--Îles-de-la-Madeleine",24019,82007,69429,233,36815,98.5,571,1.5,37386,53.8,"Toone, Philip NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Gatineau",24020,108742,89537,261,57027,99.4,365,.6,57392,64.1,"Boivin, Françoise NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Haute-Gaspésie--La Mitis--Matane--Matapédia",24041,73140,59397,213,35041,98.9,393,1.1,35434,59.7,"Fortin, Jean-François Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Hochelaga",24021,100915,80515,211,46322,98.5,725,1.5,47047,58.4,"Boutin-Sweet, Marjolaine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Honoré-Mercier",24022,106196,81736,233,48234,98.7,622,1.3,48856,59.8,"Ayala, Paulina NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Hull--Aylmer",24023,110902,91958,258,59447,99.4,355,.6,59802,65,"Turmel, Nycole NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Jeanne-Le Ber",24024,112863,89365,254,52158,98.8,637,1.2,52795,59.1,"Benskin, Tyrone NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Joliette",24025,108169,91695,234,57151,98.4,904,1.6,58055,63.3,"Raynault, Francine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Jonquière--Alma",24026,97232,81098,244,52718,98.8,624,1.2,53342,65.8,"Patry, Claude NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Lac-Saint-Louis",24027,105622,82542,227,54108,99.5,287,.5,54395,65.9,"Scarpaleggia, Francis Liberal/Libéral"
"Quebec/Québec","La Pointe-de-l'Île",24028,99685,80201,226,47652,98.3,813,1.7,48465,60.4,"Péclet, Ève NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","LaSalle--Émard",24029,100327,74755,207,41972,98.6,578,1.4,42550,56.9,"LeBlanc, Hélène NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Laurentides--Labelle",24030,105884,92025,282,56586,98.8,695,1.2,57281,62.2,"Morin, Marc-André NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Laurier--Sainte-Marie",24031,101758,79772,219,50113,99.1,471,.9,50584,63.4,"Laverdière, Hélène NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Laval",24032,102230,85204,235,50889,98.6,738,1.4,51627,60.6,"Nunez-Melo, José NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Laval--Les Îles",24033,111958,92755,250,53949,98.7,702,1.3,54651,58.9,"Pilon, François NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Lévis--Bellechasse",24034,105927,90515,279,58821,98.6,808,1.4,59629,65.9,"Blaney, Steven Conservative/Conservateur"
"Quebec/Québec","Longueuil--Pierre-Boucher",24035,98032,78791,227,52220,98.8,650,1.2,52870,67.1,"Nantel, Pierre NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Lotbinière--Chutes-de-la-Chaudière",24036,100454,82725,232,56326,98.4,926,1.6,57252,69.2,"Gourde, Jacques Conservative/Conservateur"
"Quebec/Québec","Louis-Hébert",24037,101730,82760,230,60469,99,636,1,61105,73.8,"Blanchette, Denis NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Louis-Saint-Laurent",24038,96286,86945,248,56755,98.6,800,1.4,57555,66.2,"Latendresse, Alexandrine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Manicouagan",24039,83608,65648,209,33590,98.5,524,1.5,34114,52,"Genest-Jourdain, Jonathan NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Marc-Aurèle-Fortin",24040,107149,87923,228,58588,98.7,751,1.3,59339,67.5,"Giguère, Alain NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Mégantic--L'Érable",24042,87078,70238,218,44634,98.4,733,1.6,45367,64.6,"Paradis, Christian Conservative/Conservateur"
"Quebec/Québec","Montcalm",24043,122825,107677,256,65009,98.2,1183,1.8,66192,61.5,"Perreault, Manon NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",24058,97492,78969,255,47545,98.6,677,1.4,48222,61.1,"Lapointe, François NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Montmorency--Charlevoix--Haute-Côte-Nord",24014,90535,76661,228,47128,98.7,627,1.3,47755,62.3,"Tremblay, Jonathan NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Mount Royal/Mont-Royal",24044,98888,68556,188,39007,99.2,312,.8,39319,57.4,"Cotler, Irwin Liberal/Libéral"
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine",24045,104715,77977,213,45159,99,464,1,45623,58.5,"Morin, Isabelle NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Outremont",24047,95771,65573,167,38858,99.3,291,.7,39149,59.7,"Mulcair, Thomas NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Papineau",24048,101019,70973,213,42772,98.7,558,1.3,43330,61.1,"Trudeau, Justin Liberal/Libéral"
"Quebec/Québec","Pierrefonds--Dollard",24049,105504,81767,221,48025,99.3,343,.7,48368,59.2,"Blanchette-Lamothe, Lysane NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Pontiac",24050,99589,82670,261,48949,99.2,413,.8,49362,59.7,"Ravignat, Mathieu NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
