Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon",10001,78381,63882,267,32829,99.2,262,.8,33091,51.8,"Andrews, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor",10002,86394,69828,246,28588,99.5,145,.5,28733,41.1,"Simms, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte",10003,73171,59797,225,26322,99.4,150,.6,26472,44.3,"Byrne, Gerry Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador",10004,26364,20175,80,7721,99.2,66,.8,7787,38.6,"Russell, Todd Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's",10005,71219,57209,240,23373,99.5,122,.5,23495,41.1,"Foote, Judy Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est",10006,88002,73053,215,41423,99.7,137,.3,41560,56.9,"Harris, Jack NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl",10007,81938,66467,186,34439,99.7,92,.3,34531,52,"Coady, Siobhan Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan",11001,35067,27374,83,19133,99.5,101,.5,19234,70.3,"MacAulay, Lawrence Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown",11002,32174,27083,81,17766,99.2,137,.8,17903,66.1,"Murphy, Shawn Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Egmont",11003,34814,27256,85,18461,99.4,115,.6,18576,68.2,"Shea, Gail Conservative/Conservateur"
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque",11004,33796,26498,77,18810,99.4,113,.6,18923,71.4,"Easter, Wayne Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso",12001,71968,57753,205,36272,99.2,292,.8,36564,63.3,"Cuzner, Rodger Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre",12002,72966,58863,215,39142,99.2,304,.8,39446,67,"MacKay, Peter Gordon Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley",12007,87895,68831,238,39564,99.5,201,.5,39765,57.8,"Casey, Bill Independent/Indépendant"
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour",12003,87886,69469,214,40554,99.4,245,.6,40799,58.7,"Savage, Michael John Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax",12004,89448,74717,239,45098,99.5,230,.5,45328,60.7,"Leslie, Megan NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest",12005,88756,69960,210,41215,99.6,154,.4,41369,59.1,"Regan, Geoff Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Kings--Hants",12006,81531,64593,213,37659,99.5,187,.5,37846,58.6,"Brison, Scott Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore",12008,86963,67786,231,39529,99.7,137,.3,39666,58.5,"Stoffer, Peter NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's",12009,82855,66733,212,39983,99.5,190,.5,40173,60.2,"Keddy, Gerald Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria",12010,76801,61448,201,35026,99.3,254,.7,35280,57.4,"Eyking, Mark Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest",12011,86393,67722,219,42011,99.3,304,.7,42315,62.5,"Kerr, Greg Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst",13001,78948,66509,241,44934,98.9,507,1.1,45441,68.3,"Godin, Yvon NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"New Brunswick/Nouveau-Brunswick","Beauséjour",13002,76259,62790,228,42894,98.7,586,1.3,43480,69.2,"LeBlanc, Dominic Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fredericton",13003,85886,68368,202,42232,99.4,242,.6,42474,62.1,"Ashfield, Keith Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Fundy Royal",13004,69471,54978,189,33334,99.3,251,.7,33585,61.1,"Moore, Rob Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche",13005,62593,52222,174,34316,98.4,551,1.6,34867,66.8,"D'Amours, Jean-Claude JC Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Miramichi",13006,53844,44113,155,28657,98.8,360,1.2,29017,65.8,"O'Neill-Gordon, Tilly Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe",13007,89334,74660,218,45486,99.4,286,.6,45772,61.3,"Murphy, Brian Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",13008,63232,49273,165,29962,99.4,180,.6,30142,61.2,"Thompson, Greg Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Saint John",13009,82078,64868,187,34845,99.5,187,.5,35032,54,"Weston, Rodney Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac",13010,68352,53203,181,31484,99.1,292,.9,31776,59.7,"Allen, Mike Conservative/Conservateur"
"Quebec/Québec","Abitibi--Baie-James--Nunavik--Eeyou",24046,80894,57492,174,27729,98.3,477,1.7,28206,49.1,"Lévesque, Yvon Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Abitibi--Témiscamingue",24001,102795,80456,260,43680,98.7,582,1.3,44262,55,"Lemay, Marc Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Ahuntsic",24002,100471,73391,218,47648,98.9,523,1.1,48171,65.6,"Mourani, Maria Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Alfred-Pellan",24003,104765,81766,229,53272,98.6,737,1.4,54009,66.1,"Carrier, Robert Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Argenteuil--Papineau--Mirabel",24004,111534,91705,277,54995,98.5,816,1.5,55811,60.9,"Laframboise, Mario Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Bas-Richelieu--Nicolet--Bécancour",24054,91745,76352,233,49056,98.2,918,1.8,49974,65.5,"Plamondon, Louis Bloc Québécois/Bloc Québécois"
